"Election_Date","Election_Type","Parliament","Province_Territory","Constituency","Combined_Key","Expected_Candidates","Expected_DM"
1925-10-29,"General","15","Quebec","Portneuf","1925-10-29, Portneuf, Quebec",3,1
1925-10-29,"General","15","Quebec","Québec--Montmorency","1925-10-29, Québec--Montmorency, Quebec",2,1
1925-10-29,"General","15","Quebec","Quebec East","1925-10-29, Quebec East, Quebec",2,1
1925-10-29,"General","15","Quebec","Quebec South","1925-10-29, Quebec South, Quebec",2,1
1925-10-29,"General","15","Quebec","Quebec West","1925-10-29, Quebec West, Quebec",2,1
1925-10-29,"General","15","Quebec","Richelieu","1925-10-29, Richelieu, Quebec",2,1
1925-10-29,"General","15","Quebec","Richmond--Wolfe","1925-10-29, Richmond--Wolfe, Quebec",2,1
1925-10-29,"General","15","Quebec","Rimouski","1925-10-29, Rimouski, Quebec",2,1
1925-10-29,"General","15","Quebec","Shefford","1925-10-29, Shefford, Quebec",2,1
1925-10-29,"General","15","Quebec","Sherbrooke","1925-10-29, Sherbrooke, Quebec",2,1
1925-10-29,"General","15","Quebec","St. Ann","1925-10-29, St. Ann, Quebec",3,1
1925-10-29,"General","15","Quebec","St. Antoine","1925-10-29, St. Antoine, Quebec",2,1
1925-10-29,"General","15","Quebec","St. Denis","1925-10-29, St. Denis, Quebec",3,1
1925-10-29,"General","15","Quebec","St. Henri","1925-10-29, St. Henri, Quebec",2,1
1925-10-29,"General","15","Quebec","St. Hyacinthe--Rouville","1925-10-29, St. Hyacinthe--Rouville, Quebec",2,1
1925-10-29,"General","15","Quebec","St. James","1925-10-29, St. James, Quebec",2,1
1925-10-29,"General","15","Quebec","St. Johns--Iberville","1925-10-29, St. Johns--Iberville, Quebec",2,1
1925-10-29,"General","15","Quebec","St. Lawrence--St. George","1925-10-29, St. Lawrence--St. George, Quebec",2,1
1925-10-29,"General","15","Quebec","St. Mary","1925-10-29, St. Mary, Quebec",2,1
1925-10-29,"General","15","Quebec","Stanstead","1925-10-29, Stanstead, Quebec",2,1
1925-10-29,"General","15","Quebec","Témiscouata","1925-10-29, Témiscouata, Quebec",2,1
1925-10-29,"General","15","Quebec","Terrebonne","1925-10-29, Terrebonne, Quebec",2,1
1925-10-29,"General","15","Quebec","Three Rivers--St. Maurice","1925-10-29, Three Rivers--St. Maurice, Quebec",3,1
1925-10-29,"General","15","Quebec","Vaudreuil--Soulanges","1925-10-29, Vaudreuil--Soulanges, Quebec",2,1
1925-10-29,"General","15","Quebec","Wright","1925-10-29, Wright, Quebec",2,1
1925-10-29,"General","15","Quebec","Yamaska","1925-10-29, Yamaska, Quebec",2,1
1925-10-29,"General","15","New Brunswick","Charlotte","1925-10-29, Charlotte, New Brunswick",2,1
1925-10-29,"General","15","New Brunswick","Gloucester","1925-10-29, Gloucester, New Brunswick",2,1
1925-10-29,"General","15","New Brunswick","Kent","1925-10-29, Kent, New Brunswick",2,1
1925-10-29,"General","15","New Brunswick","Northumberland","1925-10-29, Northumberland, New Brunswick",2,1
1925-10-29,"General","15","New Brunswick","Restigouche--Madawaska","1925-10-29, Restigouche--Madawaska, New Brunswick",2,1
1925-10-29,"General","15","New Brunswick","Royal","1925-10-29, Royal, New Brunswick",2,1
1925-10-29,"General","15","New Brunswick","St. John--Albert","1925-10-29, St. John--Albert, New Brunswick",4,2
1925-10-29,"General","15","New Brunswick","Victoria--Carleton","1925-10-29, Victoria--Carleton, New Brunswick",3,1
1925-10-29,"General","15","New Brunswick","Westmorland","1925-10-29, Westmorland, New Brunswick",2,1
1925-10-29,"General","15","New Brunswick","York--Sunbury","1925-10-29, York--Sunbury, New Brunswick",2,1
1925-10-29,"General","15","Nova Scotia","Antigonish--Guysborough","1925-10-29, Antigonish--Guysborough, Nova Scotia",2,1
1925-10-29,"General","15","Nova Scotia","Cape Breton North--Victoria","1925-10-29, Cape Breton North--Victoria, Nova Scotia",2,1
1925-10-29,"General","15","Nova Scotia","Cape Breton South","1925-10-29, Cape Breton South, Nova Scotia",3,1
1925-10-29,"General","15","Nova Scotia","Colchester","1925-10-29, Colchester, Nova Scotia",2,1
1925-10-29,"General","15","Nova Scotia","Cumberland","1925-10-29, Cumberland, Nova Scotia",2,1
1925-10-29,"General","15","Nova Scotia","Digby--Annapolis","1925-10-29, Digby--Annapolis, Nova Scotia",2,1
1925-10-29,"General","15","Nova Scotia","Halifax","1925-10-29, Halifax, Nova Scotia",4,2
1925-10-29,"General","15","Nova Scotia","Hants--Kings","1925-10-29, Hants--Kings, Nova Scotia",2,1
1925-10-29,"General","15","Nova Scotia","Inverness","1925-10-29, Inverness, Nova Scotia",2,1
1925-10-29,"General","15","Nova Scotia","Pictou","1925-10-29, Pictou, Nova Scotia",2,1
1925-10-29,"General","15","Nova Scotia","Queens--Lunenburg","1925-10-29, Queens--Lunenburg, Nova Scotia",2,1
1925-10-29,"General","15","Nova Scotia","Richmond--West Cape Breton","1925-10-29, Richmond--West Cape Breton, Nova Scotia",2,1
1925-10-29,"General","15","Nova Scotia","Shelburne--Yarmouth","1925-10-29, Shelburne--Yarmouth, Nova Scotia",2,1
1925-10-29,"General","15","Prince Edward Island","King's","1925-10-29, King's, Prince Edward Island",2,1
1925-10-29,"General","15","Prince Edward Island","Prince","1925-10-29, Prince, Prince Edward Island",2,1
1925-10-29,"General","15","Prince Edward Island","Queen's","1925-10-29, Queen's, Prince Edward Island",4,2
1925-10-29,"General","15","Yukon","Yukon","1925-10-29, Yukon, Yukon",2,1
1925-12-07,"By-Election","15","Quebec","Bagot","1925-12-07, Bagot, Quebec",2,1
1926-02-15,"By-Election","15","Saskatchewan","Prince Albert","1926-02-15, Prince Albert, Saskatchewan",2,1
1926-03-16,"By-Election","15","Saskatchewan","Regina","1926-03-16, Regina, Saskatchewan",1,1
1926-03-29,"By-Election","15","Ontario","Middlesex West","1926-03-29, Middlesex West, Ontario",2,1
1926-09-14,"General","16","British Columbia","Cariboo","1926-09-14, Cariboo, British Columbia",2,1
1926-09-14,"General","16","British Columbia","Comox--Alberni","1926-09-14, Comox--Alberni, British Columbia",3,1
1926-09-14,"General","16","British Columbia","Fraser Valley","1926-09-14, Fraser Valley, British Columbia",2,1
1926-09-14,"General","16","British Columbia","Kootenay East","1926-09-14, Kootenay East, British Columbia",3,1
1926-09-14,"General","16","British Columbia","Kootenay West","1926-09-14, Kootenay West, British Columbia",2,1
1926-09-14,"General","16","British Columbia","Nanaimo","1926-09-14, Nanaimo, British Columbia",2,1
1926-09-14,"General","16","British Columbia","New Westminster","1926-09-14, New Westminster, British Columbia",3,1
1926-09-14,"General","16","British Columbia","Skeena","1926-09-14, Skeena, British Columbia",2,1
1926-09-14,"General","16","British Columbia","Vancouver--Burrard","1926-09-14, Vancouver--Burrard, British Columbia",3,1
1926-09-14,"General","16","British Columbia","Vancouver Centre","1926-09-14, Vancouver Centre, British Columbia",3,1
1926-09-14,"General","16","British Columbia","Vancouver North","1926-09-14, Vancouver North, British Columbia",4,1
1926-09-14,"General","16","British Columbia","Vancouver South","1926-09-14, Vancouver South, British Columbia",3,1
1926-09-14,"General","16","British Columbia","Victoria","1926-09-14, Victoria, British Columbia",2,1
1926-09-14,"General","16","British Columbia","Yale","1926-09-14, Yale, British Columbia",2,1
1926-09-14,"General","16","Alberta","Acadia","1926-09-14, Acadia, Alberta",2,1
1926-09-14,"General","16","Alberta","Athabaska","1926-09-14, Athabaska, Alberta",2,1
1926-09-14,"General","16","Alberta","Battle River","1926-09-14, Battle River, Alberta",2,1
1926-09-14,"General","16","Alberta","Bow River","1926-09-14, Bow River, Alberta",2,1
1926-09-14,"General","16","Alberta","Calgary East","1926-09-14, Calgary East, Alberta",3,1
1926-09-14,"General","16","Alberta","Calgary West","1926-09-14, Calgary West, Alberta",2,1
1926-09-14,"General","16","Alberta","Camrose","1926-09-14, Camrose, Alberta",2,1
1926-09-14,"General","16","Alberta","Edmonton East","1926-09-14, Edmonton East, Alberta",2,1
1926-09-14,"General","16","Alberta","Edmonton West","1926-09-14, Edmonton West, Alberta",2,1
1926-09-14,"General","16","Alberta","Lethbridge","1926-09-14, Lethbridge, Alberta",2,1
1926-09-14,"General","16","Alberta","Macleod","1926-09-14, Macleod, Alberta",2,1
1926-09-14,"General","16","Alberta","Medicine Hat","1926-09-14, Medicine Hat, Alberta",3,1
1926-09-14,"General","16","Alberta","Peace River","1926-09-14, Peace River, Alberta",3,1
1926-09-14,"General","16","Alberta","Red Deer","1926-09-14, Red Deer, Alberta",2,1
1926-09-14,"General","16","Alberta","Vegreville","1926-09-14, Vegreville, Alberta",2,1
1926-09-14,"General","16","Alberta","Wetaskiwin","1926-09-14, Wetaskiwin, Alberta",3,1
1926-09-14,"General","16","Saskatchewan","Assiniboia","1926-09-14, Assiniboia, Saskatchewan",3,1
1926-09-14,"General","16","Saskatchewan","Humboldt","1926-09-14, Humboldt, Saskatchewan",2,1
1926-09-14,"General","16","Saskatchewan","Kindersley","1926-09-14, Kindersley, Saskatchewan",2,1
1926-09-14,"General","16","Saskatchewan","Last Mountain","1926-09-14, Last Mountain, Saskatchewan",2,1
1926-09-14,"General","16","Saskatchewan","Long Lake","1926-09-14, Long Lake, Saskatchewan",2,1
1926-09-14,"General","16","Saskatchewan","Mackenzie","1926-09-14, Mackenzie, Saskatchewan",2,1
1926-09-14,"General","16","Saskatchewan","Maple Creek","1926-09-14, Maple Creek, Saskatchewan",2,1
1926-09-14,"General","16","Saskatchewan","Melfort","1926-09-14, Melfort, Saskatchewan",2,1
1926-09-14,"General","16","Saskatchewan","Melville","1926-09-14, Melville, Saskatchewan",2,1
1926-09-14,"General","16","Saskatchewan","Moose Jaw","1926-09-14, Moose Jaw, Saskatchewan",3,1
1926-09-14,"General","16","Saskatchewan","North Battleford","1926-09-14, North Battleford, Saskatchewan",2,1
1926-09-14,"General","16","Saskatchewan","Prince Albert","1926-09-14, Prince Albert, Saskatchewan",2,1
1926-09-14,"General","16","Saskatchewan","Qu'Appelle","1926-09-14, Qu'Appelle, Saskatchewan",2,1
1926-09-14,"General","16","Saskatchewan","Regina","1926-09-14, Regina, Saskatchewan",2,1
1926-09-14,"General","16","Saskatchewan","Rosetown","1926-09-14, Rosetown, Saskatchewan",2,1
1926-09-14,"General","16","Saskatchewan","Saskatoon","1926-09-14, Saskatoon, Saskatchewan",2,1
1926-09-14,"General","16","Saskatchewan","South Battleford","1926-09-14, South Battleford, Saskatchewan",3,1
1926-09-14,"General","16","Saskatchewan","Swift Current","1926-09-14, Swift Current, Saskatchewan",3,1
1926-09-14,"General","16","Saskatchewan","Weyburn","1926-09-14, Weyburn, Saskatchewan",2,1
1926-09-14,"General","16","Saskatchewan","Willow Bunch","1926-09-14, Willow Bunch, Saskatchewan",3,1
1926-09-14,"General","16","Saskatchewan","Yorkton","1926-09-14, Yorkton, Saskatchewan",2,1
1926-09-14,"General","16","Manitoba","Brandon","1926-09-14, Brandon, Manitoba",2,1
1926-09-14,"General","16","Manitoba","Dauphin","1926-09-14, Dauphin, Manitoba",2,1
1926-09-14,"General","16","Manitoba","Lisgar","1926-09-14, Lisgar, Manitoba",2,1
1926-09-14,"General","16","Manitoba","Macdonald","1926-09-14, Macdonald, Manitoba",2,1
1926-09-14,"General","16","Manitoba","Marquette","1926-09-14, Marquette, Manitoba",2,1
1926-09-14,"General","16","Manitoba","Neepawa","1926-09-14, Neepawa, Manitoba",2,1
1926-09-14,"General","16","Manitoba","Nelson","1926-09-14, Nelson, Manitoba",2,1
1926-09-14,"General","16","Manitoba","Portage la Prairie","1926-09-14, Portage la Prairie, Manitoba",2,1
1926-09-14,"General","16","Manitoba","Provencher","1926-09-14, Provencher, Manitoba",1,1
1926-09-14,"General","16","Manitoba","Selkirk","1926-09-14, Selkirk, Manitoba",2,1
1926-09-14,"General","16","Manitoba","Souris","1926-09-14, Souris, Manitoba",2,1
1926-09-14,"General","16","Manitoba","Springfield","1926-09-14, Springfield, Manitoba",3,1
1926-09-14,"General","16","Manitoba","St. Boniface","1926-09-14, St. Boniface, Manitoba",3,1
1926-09-14,"General","16","Manitoba","Winnipeg North","1926-09-14, Winnipeg North, Manitoba",3,1
1926-09-14,"General","16","Manitoba","Winnipeg North Centre","1926-09-14, Winnipeg North Centre, Manitoba",2,1
1926-09-14,"General","16","Manitoba","Winnipeg South","1926-09-14, Winnipeg South, Manitoba",2,1
1926-09-14,"General","16","Manitoba","Winnipeg South Centre","1926-09-14, Winnipeg South Centre, Manitoba",2,1
1926-09-14,"General","16","Ontario","Algoma East","1926-09-14, Algoma East, Ontario",2,1
1926-09-14,"General","16","Ontario","Algoma West","1926-09-14, Algoma West, Ontario",1,1
1926-09-14,"General","16","Ontario","Brant","1926-09-14, Brant, Ontario",2,1
1926-09-14,"General","16","Ontario","Brantford City","1926-09-14, Brantford City, Ontario",2,1
1926-09-14,"General","16","Ontario","Bruce North","1926-09-14, Bruce North, Ontario",3,1
1926-09-14,"General","16","Ontario","Bruce South","1926-09-14, Bruce South, Ontario",3,1
1926-09-14,"General","16","Ontario","Carleton","1926-09-14, Carleton, Ontario",2,1
1926-09-14,"General","16","Ontario","Dufferin--Simcoe","1926-09-14, Dufferin--Simcoe, Ontario",2,1
1926-09-14,"General","16","Ontario","Durham","1926-09-14, Durham, Ontario",2,1
1926-09-14,"General","16","Ontario","Elgin West","1926-09-14, Elgin West, Ontario",2,1
1926-09-14,"General","16","Ontario","Essex East","1926-09-14, Essex East, Ontario",2,1
1926-09-14,"General","16","Ontario","Essex South","1926-09-14, Essex South, Ontario",2,1
1926-09-14,"General","16","Ontario","Essex West","1926-09-14, Essex West, Ontario",2,1
1926-09-14,"General","16","Ontario","Fort William","1926-09-14, Fort William, Ontario",2,1
1926-09-14,"General","16","Ontario","Frontenac--Addington","1926-09-14, Frontenac--Addington, Ontario",2,1
1926-09-14,"General","16","Ontario","Glengarry","1926-09-14, Glengarry, Ontario",2,1
1926-09-14,"General","16","Ontario","Grenville--Dundas","1926-09-14, Grenville--Dundas, Ontario",2,1
1926-09-14,"General","16","Ontario","Grey North","1926-09-14, Grey North, Ontario",2,1
1926-09-14,"General","16","Ontario","Grey Southeast","1926-09-14, Grey Southeast, Ontario",2,1
1926-09-14,"General","16","Ontario","Haldimand","1926-09-14, Haldimand, Ontario",2,1
1926-09-14,"General","16","Ontario","Halton","1926-09-14, Halton, Ontario",2,1
1926-09-14,"General","16","Ontario","Hamilton East","1926-09-14, Hamilton East, Ontario",2,1
1926-09-14,"General","16","Ontario","Hamilton West","1926-09-14, Hamilton West, Ontario",2,1
1926-09-14,"General","16","Ontario","Hastings--Peterborough","1926-09-14, Hastings--Peterborough, Ontario",2,1
1926-09-14,"General","16","Ontario","Hastings South","1926-09-14, Hastings South, Ontario",2,1
1926-09-14,"General","16","Ontario","Huron North","1926-09-14, Huron North, Ontario",2,1
1926-09-14,"General","16","Ontario","Huron South","1926-09-14, Huron South, Ontario",2,1
1926-09-14,"General","16","Ontario","Kenora--Rainy River","1926-09-14, Kenora--Rainy River, Ontario",2,1
1926-09-14,"General","16","Ontario","Kent","1926-09-14, Kent, Ontario",2,1
1926-09-14,"General","16","Ontario","Kingston City","1926-09-14, Kingston City, Ontario",2,1
1926-09-14,"General","16","Ontario","Lambton East","1926-09-14, Lambton East, Ontario",2,1
1926-09-14,"General","16","Ontario","Lambton West","1926-09-14, Lambton West, Ontario",2,1
1926-09-14,"General","16","Ontario","Lanark","1926-09-14, Lanark, Ontario",2,1
1926-09-14,"General","16","Ontario","Leeds","1926-09-14, Leeds, Ontario",2,1
1926-09-14,"General","16","Ontario","Lincoln","1926-09-14, Lincoln, Ontario",2,1
1926-09-14,"General","16","Ontario","London","1926-09-14, London, Ontario",2,1
1926-09-14,"General","16","Ontario","Middlesex East","1926-09-14, Middlesex East, Ontario",3,1
1926-09-14,"General","16","Ontario","Middlesex West","1926-09-14, Middlesex West, Ontario",2,1
1926-09-14,"General","16","Ontario","Muskoka--Ontario","1926-09-14, Muskoka--Ontario, Ontario",2,1
1926-09-14,"General","16","Ontario","Nipissing","1926-09-14, Nipissing, Ontario",2,1
1926-09-14,"General","16","Ontario","Norfolk--Elgin","1926-09-14, Norfolk--Elgin, Ontario",2,1
1926-09-14,"General","16","Ontario","Northumberland","1926-09-14, Northumberland, Ontario",2,1
1926-09-14,"General","16","Ontario","Ontario","1926-09-14, Ontario, Ontario",2,1
1926-09-14,"General","16","Ontario","Ottawa (City of)","1926-09-14, Ottawa (City of), Ontario",4,2
1926-09-14,"General","16","Ontario","Oxford North","1926-09-14, Oxford North, Ontario",2,1
1926-09-14,"General","16","Ontario","Oxford South","1926-09-14, Oxford South, Ontario",2,1
1926-09-14,"General","16","Ontario","Parkdale","1926-09-14, Parkdale, Ontario",2,1
1926-09-14,"General","16","Ontario","Parry Sound","1926-09-14, Parry Sound, Ontario",2,1
1926-09-14,"General","16","Ontario","Peel","1926-09-14, Peel, Ontario",2,1
1926-09-14,"General","16","Ontario","Perth North","1926-09-14, Perth North, Ontario",2,1
1926-09-14,"General","16","Ontario","Perth South","1926-09-14, Perth South, Ontario",2,1
1926-09-14,"General","16","Ontario","Peterborough West","1926-09-14, Peterborough West, Ontario",2,1
1926-09-14,"General","16","Ontario","Port Arthur--Thunder Bay","1926-09-14, Port Arthur--Thunder Bay, Ontario",3,1
1926-09-14,"General","16","Ontario","Prescott","1926-09-14, Prescott, Ontario",4,1
1926-09-14,"General","16","Ontario","Prince Edward--Lennox","1926-09-14, Prince Edward--Lennox, Ontario",2,1
1926-09-14,"General","16","Ontario","Renfrew North","1926-09-14, Renfrew North, Ontario",3,1
1926-09-14,"General","16","Ontario","Renfrew South","1926-09-14, Renfrew South, Ontario",3,1
1926-09-14,"General","16","Ontario","Russell","1926-09-14, Russell, Ontario",2,1
1926-09-14,"General","16","Ontario","Simcoe East","1926-09-14, Simcoe East, Ontario",2,1
1926-09-14,"General","16","Ontario","Simcoe North","1926-09-14, Simcoe North, Ontario",2,1
1926-09-14,"General","16","Ontario","Stormont","1926-09-14, Stormont, Ontario",2,1
1926-09-14,"General","16","Ontario","Timiskaming North","1926-09-14, Timiskaming North, Ontario",2,1
1926-09-14,"General","16","Ontario","Timiskaming South","1926-09-14, Timiskaming South, Ontario",2,1
1926-09-14,"General","16","Ontario","Toronto--High Park","1926-09-14, Toronto--High Park, Ontario",2,1
1926-09-14,"General","16","Ontario","Toronto--Scarborough","1926-09-14, Toronto--Scarborough, Ontario",2,1
1926-09-14,"General","16","Ontario","Toronto East","1926-09-14, Toronto East, Ontario",2,1
1926-09-14,"General","16","Ontario","Toronto East Centre","1926-09-14, Toronto East Centre, Ontario",3,1
1926-09-14,"General","16","Ontario","Toronto Northeast","1926-09-14, Toronto Northeast, Ontario",3,1
1926-09-14,"General","16","Ontario","Toronto Northwest","1926-09-14, Toronto Northwest, Ontario",3,1
1926-09-14,"General","16","Ontario","Toronto South","1926-09-14, Toronto South, Ontario",2,1
1926-09-14,"General","16","Ontario","Toronto West Centre","1926-09-14, Toronto West Centre, Ontario",3,1
1926-09-14,"General","16","Ontario","Victoria","1926-09-14, Victoria, Ontario",2,1
1926-09-14,"General","16","Ontario","Waterloo North","1926-09-14, Waterloo North, Ontario",2,1
1926-09-14,"General","16","Ontario","Waterloo South","1926-09-14, Waterloo South, Ontario",2,1
1926-09-14,"General","16","Ontario","Welland","1926-09-14, Welland, Ontario",2,1
1926-09-14,"General","16","Ontario","Wellington North","1926-09-14, Wellington North, Ontario",2,1
1926-09-14,"General","16","Ontario","Wellington South","1926-09-14, Wellington South, Ontario",2,1
1926-09-14,"General","16","Ontario","Wentworth","1926-09-14, Wentworth, Ontario",2,1
1926-09-14,"General","16","Ontario","York North","1926-09-14, York North, Ontario",2,1
1926-09-14,"General","16","Ontario","York South","1926-09-14, York South, Ontario",2,1
1926-09-14,"General","16","Ontario","York West","1926-09-14, York West, Ontario",2,1
1926-09-14,"General","16","Quebec","Argenteuil","1926-09-14, Argenteuil, Quebec",2,1
1926-09-14,"General","16","Quebec","Bagot","1926-09-14, Bagot, Quebec",2,1
1926-09-14,"General","16","Quebec","Beauce","1926-09-14, Beauce, Quebec",2,1
1926-09-14,"General","16","Quebec","Beauharnois","1926-09-14, Beauharnois, Quebec",3,1
1926-09-14,"General","16","Quebec","Bellechasse","1926-09-14, Bellechasse, Quebec",2,1
1926-09-14,"General","16","Quebec","Berthier--Maskinongé","1926-09-14, Berthier--Maskinongé, Quebec",2,1
1926-09-14,"General","16","Quebec","Bonaventure","1926-09-14, Bonaventure, Quebec",2,1
1926-09-14,"General","16","Quebec","Brome--Missisquoi","1926-09-14, Brome--Missisquoi, Quebec",2,1
1926-09-14,"General","16","Quebec","Cartier","1926-09-14, Cartier, Quebec",4,1
1926-09-14,"General","16","Quebec","Chambly--Verchères","1926-09-14, Chambly--Verchères, Quebec",2,1
1926-09-14,"General","16","Quebec","Champlain","1926-09-14, Champlain, Quebec",2,1
1926-09-14,"General","16","Quebec","Charlevoix--Saguenay","1926-09-14, Charlevoix--Saguenay, Quebec",2,1
1926-09-14,"General","16","Quebec","Châteauguay--Huntingdon","1926-09-14, Châteauguay--Huntingdon, Quebec",2,1
1926-09-14,"General","16","Quebec","Chicoutimi","1926-09-14, Chicoutimi, Quebec",2,1
1926-09-14,"General","16","Quebec","Compton","1926-09-14, Compton, Quebec",2,1
1926-09-14,"General","16","Quebec","Dorchester","1926-09-14, Dorchester, Quebec",2,1
1926-09-14,"General","16","Quebec","Drummond--Arthabaska","1926-09-14, Drummond--Arthabaska, Quebec",2,1
1926-09-14,"General","16","Quebec","Gaspé","1926-09-14, Gaspé, Quebec",2,1
1926-09-14,"General","16","Quebec","Hochelaga","1926-09-14, Hochelaga, Quebec",3,1
1926-09-14,"General","16","Quebec","Hull","1926-09-14, Hull, Quebec",2,1
1926-09-14,"General","16","Quebec","Jacques Cartier","1926-09-14, Jacques Cartier, Quebec",2,1
1926-09-14,"General","16","Quebec","Joliette","1926-09-14, Joliette, Quebec",2,1
1926-09-14,"General","16","Quebec","Kamouraska","1926-09-14, Kamouraska, Quebec",2,1
1926-09-14,"General","16","Quebec","L'Assomption--Montcalm","1926-09-14, L'Assomption--Montcalm, Quebec",2,1
1926-09-14,"General","16","Quebec","L'Islet","1926-09-14, L'Islet, Quebec",2,1
1926-09-14,"General","16","Quebec","Labelle","1926-09-14, Labelle, Quebec",3,1
1926-09-14,"General","16","Quebec","Lake St. John","1926-09-14, Lake St. John, Quebec",2,1
1926-09-14,"General","16","Quebec","Laprairie--Napierville","1926-09-14, Laprairie--Napierville, Quebec",2,1
1926-09-14,"General","16","Quebec","Laurier--Outremont","1926-09-14, Laurier--Outremont, Quebec",2,1
1926-09-14,"General","16","Quebec","Laval--Two Mountains","1926-09-14, Laval--Two Mountains, Quebec",2,1
1926-09-14,"General","16","Quebec","Lévis","1926-09-14, Lévis, Quebec",2,1
1926-09-14,"General","16","Quebec","Lotbinière","1926-09-14, Lotbinière, Quebec",2,1
1926-09-14,"General","16","Quebec","Maisonneuve","1926-09-14, Maisonneuve, Quebec",2,1
1926-09-14,"General","16","Quebec","Matane","1926-09-14, Matane, Quebec",2,1
1926-09-14,"General","16","Quebec","Mégantic","1926-09-14, Mégantic, Quebec",2,1
1926-09-14,"General","16","Quebec","Montmagny","1926-09-14, Montmagny, Quebec",2,1
1926-09-14,"General","16","Quebec","Mount Royal","1926-09-14, Mount Royal, Quebec",2,1
1926-09-14,"General","16","Quebec","Nicolet","1926-09-14, Nicolet, Quebec",2,1
1926-09-14,"General","16","Quebec","Pontiac","1926-09-14, Pontiac, Quebec",2,1
1926-09-14,"General","16","Quebec","Portneuf","1926-09-14, Portneuf, Quebec",2,1
1926-09-14,"General","16","Quebec","Québec--Montmorency","1926-09-14, Québec--Montmorency, Quebec",2,1
1926-09-14,"General","16","Quebec","Quebec East","1926-09-14, Quebec East, Quebec",2,1
1926-09-14,"General","16","Quebec","Quebec South","1926-09-14, Quebec South, Quebec",3,1
1926-09-14,"General","16","Quebec","Quebec West","1926-09-14, Quebec West, Quebec",2,1
1926-09-14,"General","16","Quebec","Richelieu","1926-09-14, Richelieu, Quebec",2,1
1926-09-14,"General","16","Quebec","Richmond--Wolfe","1926-09-14, Richmond--Wolfe, Quebec",2,1
1926-09-14,"General","16","Quebec","Rimouski","1926-09-14, Rimouski, Quebec",3,1
1926-09-14,"General","16","Quebec","Shefford","1926-09-14, Shefford, Quebec",2,1
1926-09-14,"General","16","Quebec","Sherbrooke","1926-09-14, Sherbrooke, Quebec",2,1
1926-09-14,"General","16","Quebec","St. Ann","1926-09-14, St. Ann, Quebec",2,1
1926-09-14,"General","16","Quebec","St. Antoine","1926-09-14, St. Antoine, Quebec",2,1
1926-09-14,"General","16","Quebec","St. Denis","1926-09-14, St. Denis, Quebec",2,1
1926-09-14,"General","16","Quebec","St. Henri","1926-09-14, St. Henri, Quebec",2,1
1926-09-14,"General","16","Quebec","St. Hyacinthe--Rouville","1926-09-14, St. Hyacinthe--Rouville, Quebec",2,1
1926-09-14,"General","16","Quebec","St. James","1926-09-14, St. James, Quebec",2,1
1926-09-14,"General","16","Quebec","St. Johns--Iberville","1926-09-14, St. Johns--Iberville, Quebec",3,1
1926-09-14,"General","16","Quebec","St. Lawrence--St. George","1926-09-14, St. Lawrence--St. George, Quebec",2,1
1926-09-14,"General","16","Quebec","St. Mary","1926-09-14, St. Mary, Quebec",2,1
1926-09-14,"General","16","Quebec","Stanstead","1926-09-14, Stanstead, Quebec",2,1
1926-09-14,"General","16","Quebec","Témiscouata","1926-09-14, Témiscouata, Quebec",2,1
1926-09-14,"General","16","Quebec","Terrebonne","1926-09-14, Terrebonne, Quebec",2,1
1926-09-14,"General","16","Quebec","Three Rivers--St. Maurice","1926-09-14, Three Rivers--St. Maurice, Quebec",2,1
1926-09-14,"General","16","Quebec","Vaudreuil--Soulanges","1926-09-14, Vaudreuil--Soulanges, Quebec",2,1
1926-09-14,"General","16","Quebec","Wright","1926-09-14, Wright, Quebec",2,1
1926-09-14,"General","16","Quebec","Yamaska","1926-09-14, Yamaska, Quebec",2,1
1926-09-14,"General","16","New Brunswick","Charlotte","1926-09-14, Charlotte, New Brunswick",2,1
1926-09-14,"General","16","New Brunswick","Gloucester","1926-09-14, Gloucester, New Brunswick",2,1
1926-09-14,"General","16","New Brunswick","Kent","1926-09-14, Kent, New Brunswick",2,1
1926-09-14,"General","16","New Brunswick","Northumberland","1926-09-14, Northumberland, New Brunswick",2,1
1926-09-14,"General","16","New Brunswick","Restigouche--Madawaska","1926-09-14, Restigouche--Madawaska, New Brunswick",2,1
1926-09-14,"General","16","New Brunswick","Royal","1926-09-14, Royal, New Brunswick",2,1
1926-09-14,"General","16","New Brunswick","St. John--Albert","1926-09-14, St. John--Albert, New Brunswick",4,2
1926-09-14,"General","16","New Brunswick","Victoria--Carleton","1926-09-14, Victoria--Carleton, New Brunswick",2,1
1926-09-14,"General","16","New Brunswick","Westmorland","1926-09-14, Westmorland, New Brunswick",2,1
1926-09-14,"General","16","New Brunswick","York--Sunbury","1926-09-14, York--Sunbury, New Brunswick",2,1
1926-09-14,"General","16","Nova Scotia","Antigonish--Guysborough","1926-09-14, Antigonish--Guysborough, Nova Scotia",2,1
1926-09-14,"General","16","Nova Scotia","Cape Breton North--Victoria","1926-09-14, Cape Breton North--Victoria, Nova Scotia",2,1
1926-09-14,"General","16","Nova Scotia","Cape Breton South","1926-09-14, Cape Breton South, Nova Scotia",2,1
1926-09-14,"General","16","Nova Scotia","Colchester","1926-09-14, Colchester, Nova Scotia",2,1
1926-09-14,"General","16","Nova Scotia","Cumberland","1926-09-14, Cumberland, Nova Scotia",2,1
1926-09-14,"General","16","Nova Scotia","Digby--Annapolis","1926-09-14, Digby--Annapolis, Nova Scotia",2,1
